KMNO,BUY,LIMIT,IOC,6084,0.1336392,0.1325507,FILLED,960,6084,1737910060727,813.0608928
KMNO,BUY,LIMIT,IOC,6084,0.1336392,0.1325507,FILLED,960,6084,1737910060727,813.0608928
SOLV,SELL,LIMIT,IOC,12326,0.0575345,0.0580660,FILLED,1690,12326,1737910063105,709.170247
SOLV,SELL,LIMIT,IOC,12326,0.0575345,0.0580660,FILLED,1690,12326,1737910063105,709.170247
CETUS,SELL,LIMIT,IOC,11,0.2150242,0.2168600,FILLED,11,11,1737910063739,2.3652661999999998
CETUS,SELL,LIMIT,IOC,11,0.2150242,0.2168600,FILLED,11,11,1737910063739,2.3652661999999998
ENA,SELL,LIMIT,IOC,5707,0.8175621,0.8253000,FILLED,813,5707,1737910066150,4665.826904699999
ENA,SELL,LIMIT,IOC,5707,0.8175621,0.8253000,FILLED,813,5707,1737910066150,4665.826904699999
SOLV,SELL,LIMIT,IOC,1992,0.0574587,0.0576000,FILLED,1992,1992,1737910067233,114.4577304
SOLV,SELL,LIMIT,IOC,1992,0.0574587,0.0576000,FILLED,1992,1992,1737910067233,114.4577304
TRU,SELL,LIMIT,IOC,4225,0.0700676,0.0707400,FILLED,21,4225,1737910067472,296.03560999999996
TRU,SELL,LIMIT,IOC,4225,0.0700676,0.0707400,FILLED,21,4225,1737910067472,296.03560999999996
SOLV,SELL,LIMIT,IOC,5846,0.0572392,0.0576000,FILLED,481,5846,1737910069044,334.6203632
SOLV,SELL,LIMIT,IOC,5846,0.0572392,0.0576000,FILLED,481,5846,1737910069044,334.6203632
ANIME,SELL,LIMIT,IOC,2400,0.0563956,0.0567000,FILLED,2400,2400,1737910069044,135.34944
ANIME,SELL,LIMIT,IOC,2400,0.0563956,0.0567000,FILLED,2400,2400,1737910069044,135.34944
PNUT,SELL,LIMIT,IOC,676,0.3117048,0.3138800,FILLED,18,676,1737910069044,210.71244480000001
PNUT,SELL,LIMIT,IOC,676,0.3117048,0.3138800,FILLED,18,676,1737910069044,210.71244480000001
VELODROME,SELL,LIMIT,IOC,933,0.1066425,0.1073430,FILLED,652,933,1737910069265,99.4974525
VELODROME,SELL,LIMIT,IOC,933,0.1066425,0.1073430,FILLED,652,933,1737910069265,99.4974525
SOLV,SELL,LIMIT,IOC,1725,0.0570087,0.0575000,FILLED,1725,1725,1737910070114,98.3400075
SOLV,SELL,LIMIT,IOC,1725,0.0570087,0.0575000,FILLED,1725,1725,1737910070114,98.3400075
ANIME,SELL,LIMIT,IOC,422311,0.0557978,0.0567000,FILLED,4224,422311,1737910070499,23564.024715800002
ANIME,SELL,LIMIT,IOC,422311,0.0557978,0.0567000,FILLED,4224,422311,1737910070499,23564.024715800002
ENA,SELL,LIMIT,IOC,2399,0.8170686,0.8251000,FILLED,1765,2399,1737910071326,1960.1475714
ENA,SELL,LIMIT,IOC,2399,0.8170686,0.8251000,FILLED,1765,2399,1737910071326,1960.1475714
SOLV,SELL,LIMIT,IOC,101829,0.0568749,0.0575000,FILLED,4467,101829,1737910073564,5791.5141920999995
SOLV,SELL,LIMIT,IOC,101829,0.0568749,0.0575000,FILLED,4467,101829,1737910073564,5791.5141920999995
